word	definition	pos	cefr	tags
tentación	temptation	noun	B1.1	
terremoto	earthquake	noun	B1.1	
terrorismo	terrorism	noun	B1.1	
tímida	shy	adj	B1.1	
tímido	shy	adj	B1.1	
trabajadora	hardworking	adj	B1.1	
trece	thirteen	num	B1.1	
tregua	truce	noun	B1.1	
tutor	tutor	noun	B1.1	
universitario	university	adj	B1.1	
vacuna	vaccine	noun	B1.1	
yoga	yoga	noun	B1.1	
aburrimiento	boredom	noun	B1.2	
acampar	to camp	verb	B1.2	
acta	minutes	noun	B1.2	
adelanto	advance	noun	B1.2	
adquirir	to acquire	verb	B1.2	
afectar	to affect	verb	B1.2	
afeitar	to shave	verb	B1.2	
agresiva	aggressive	adj	B1.2	
alimentación	eating, nutrition	noun	B1.2	
aliviado	relieved	adj	B1.2	
aliviar	to relieve	verb	B1.2	
almacenamiento	storage	noun	B1.2	
amplio	large	adj	B1.2	
animar	to cheer, encourage	verb	B1.2	
aplicar	to apply	verb	B1.2	
apuntes	notes	noun	B1.2	
árbitro	referee	noun	B1.2	
arrogancia	arrogance	noun	B1.2	
balance	balance sheet	noun	B1.2	
bono	bond	noun	B1.2	
bufanda	scarf	noun	B1.2	
calefacción	heating	noun	B1.2	
calorías	calories	noun	B1.2	
carnicería	butcher shop	noun	B1.2	
centímetro	centimeter	noun	B1.2	
champú	shampoo	noun	B1.2	
citación	citation, summons	noun	B1.2	
colaboración	collaboration	noun	B1.2	
colectivo	collective	adj	B1.2	
comerciante	merchant	noun	B1.2	
compositor	composer	noun	B1.2	
compuesto	compound	noun	B1.2	
comunión	communion	noun	B1.2	
comunismo	communism	noun	B1.2	
contaminación	pollution	noun	B1.2	
coser	to sew	verb	B1.2	
cuidadosa	careful	adj	B1.2	
curiosa	curious	adj	B1.2	
dañar	to damage	verb	B1.2	
depender	to depend	verb	B1.2	
desvío	detour	noun	B1.2	
detectar	to detect	verb	B1.2	
devoción	devotion	noun	B1.2	
diálogo	dialogue	noun	B1.2	
diarrea	diarrhea	noun	B1.2	
dilema	dilemma	noun	B1.2	
dinámica	dynamics	noun	B1.2	
doctorado	doctorate, PhD	noun	B1.2	
económico	economic	adj	B1.2	
editorial	publisher, editorial	noun	B1.2	
electoral	electoral	adj	B1.2	
emitir	to emit	verb	B1.2	
empate	tie, draw	noun	B1.2	
empresario	entrepreneur, businessman	noun	B1.2	
encuesta	poll, survey	noun	B1.2	
enojo	anger	noun	B1.2	
epidemia	epidemic	noun	B1.2	
esquiar	to ski	verb	B1.2	
estresado	stressed	adj	B1.2	
extinción	extinction	noun	B1.2	
fabricante	manufacturer	noun	B1.2	
falsificación	counterfeit	noun	B1.2	
fibra	fiber	noun	B1.2	
flexible	flexible	adj	B1.2	
frustración	frustration	noun	B1.2	
frustrado	frustrated	adj	B1.2	
ganancia	profit	noun	B1.2	
gasto	spending	noun	B1.2	
gen	gene	noun	B1.2	
generar	to generate	verb	B1.2	
grieta	crack	noun	B1.2	
grifo	faucet, tap	noun	B1.2	
humildad	humility	noun	B1.2	
idiomas	languages	noun	B1.2	
impuesto	tax	noun	B1.2	
incluir	to include	verb	B1.2	
índice	index	noun	B1.2	
indicio	indication	noun	B1.2	
ingresar	to get into, enter, join, deposit	verb	B1.2	
innecesario	unnecessary	adj	B1.2	
inseguro	insecure	adj	B1.2	
inundación	flood	noun	B1.2	
iríamos	we would go	verb	B1.2	
irresponsable	irresponsible	adj	B1.2	
joyería	jewelry	noun	B1.2	
jubilación	retirement	noun	B1.2	
jueza	judge	noun	B1.2	
legítima	legitimate portion	noun	B1.2	
librería	bookstore	noun	B1.2	
litro	liter	noun	B1.2	
longitud	length	noun	B1.2	
López	Lopez	noun	B1.2	
magistrado	magistrate	noun	B1.2	
manifestación	demonstration, protest	noun	B1.2	
mareada	dizzy	noun	B1.2	
Martínez	Martinez	noun	B1.2	
mecánica	mechanic; mechanics	noun	B1.2	
meditación	meditation	noun	B1.2	
mineral	mineral	noun	B1.2	
mudanza	move, moving	noun	B1.2	
municipal	municipal	adj	B1.2	
negligencia	negligence	noun	B1.2	
nómina	payroll	noun	B1.2	
noventa	ninety	num	B1.2	
obligar	to force, obligate	verb	B1.2	
ofrenda	offering	noun	B1.2	
operador	operator	noun	B1.2	
operativo	operation	noun	B1.2	
organismo	organism	noun	B1.2	
órgano	organ	noun	B1.2	
pacífica	peaceful	adj	B1.2	
panadería	bakery	noun	B1.2	
pasatiempo	hobby, pastime	noun	B1.2	
patinar	to skate	verb	B1.2	
patrimonio	heritage	noun	B1.2	
perezoso	lazy	adj	B1.2	
póliza	policy	noun	B1.2	
prenda	pledge	noun	B1.2	
preocupar	to worry (someone)	verb	B1.2	
preservar	to preserve	verb	B1.2	
previo	previous	adj	B1.2	
pronóstico	prognosis	noun	B1.2	
prototipo	prototype	noun	B1.2	
provincia	province	noun	B1.2	
psiquiatría	psychiatry	noun	B1.2	
publicación	publication	noun	B1.2	
pulsera	bracelet	noun	B1.2	
receptor	receiver	noun	B1.2	
reducción	reduction	noun	B1.2	
reforma	reform	noun	B1.2	
regional	regional	adj	B1.2	
reglamento	regulation	noun	B1.2	
relajado	relaxed	adj	B1.2	
rendimiento	performance, yield	noun	B1.2	
reportar	to report	verb	B1.2	
resolución	resolution	noun	B1.2	
revuelta	revolt	noun	B1.2	
rima	rhyme	noun	B1.2	
sacramento	sacrament	noun	B1.2	
Sánchez	Sanchez	noun	B1.2	
secta	sect	noun	B1.2	
semáforo	traffic light	noun	B1.2	
sensibilidad	sensitivity	noun	B1.2	
solicitar	request	verb	B1.2	
sorprender	to surprise	verb	B1.2	
subconsciente	subconscious	adj	B1.2	
suspender	to fail	verb	B1.2	
taquilla	box office	noun	B1.2	
ternura	tenderness	noun	B1.2	
tolerancia	tolerance	noun	B1.2	
tóxico	toxic	adj	B1.2	
transmisor	transmitter	noun	B1.2	
trastorno	disorder	noun	B1.2	
trimestre	trimester, quarter	noun	B1.2	
vivienda	housing	noun	B1.2	
vocabulario	vocabulary	noun	B1.2	
vómito	vomit	noun	B1.2	
absolución	absolution	noun	B2.1	
abstinencia	abstinence	noun	B2.1	
absuelto	acquitted	adj	B2.1	
adaptación	adaptation	noun	B2.1	
adelantar	to advance, overtake	verb	B2.1	
administrativo	administrative	adj	B2.1	
adoración	adoration	noun	B2.1	
adquisición	acquisition	noun	B2.1	
advertir	to warn	verb	B2.1	
afición	hobby, passion	noun	B2.1	
ahorro	saving	noun	B2.1	
amateur	amateur	adj	B2.1	
ámbito	scope, sphere, space	noun	B2.1	
anatomía	anatomy	noun	B2.1	
apéndice	appendix	noun	B2.1	
aportar	to contribute, provide	verb	B2.1	
asombrado	amazed	adj	B2.1	
átomo	atom	noun	B2.1	
avería	breakdown, malfunction	noun	B2.1	
bachillerato	high school diploma, baccalaureate	noun	B2.1	
bacteria	bacteria	noun	B2.1	
bautismo	baptism	noun	B2.1	
bautizo	baptism	noun	B2.1	
blasfemia	blasphemy	noun	B2.1	
bucear	to dive, snorkel	verb	B2.1	
campeona	champion	noun	B2.1	
camping	campsite	noun	B2.1	
capitalismo	capitalism	noun	B2.1	
característica	characteristic	noun	B2.1	
censura	censorship	noun	B2.1	
ciudadana	citizen	noun	B2.1	
ciudadanía	citizenship	noun	B2.1	
cláusula	clause	noun	B2.1	
coalición	coalition	noun	B2.1	
cobardía	cowardice	noun	B2.1	
compasivo	compassionate	adj	B2.1	
concesión	concession	noun	B2.1	
confundir	to confuse	verb	B2.1	
congregación	congregation	noun	B2.1	
consola	console	noun	B2.1	
contextualismo	contextualism	adj	B2.1	
conversión	conversion	noun	B2.1	
coreografía	choreography	noun	B2.1	
corresponsal	correspondent	noun	B2.1	
cuarteto	quartet	noun	B2.1	
cumplimiento	compliance	noun	B2.1	
décima	décima	noun	B2.1	
decreto	decree	noun	B2.1	
déficit	deficit	noun	B2.1	
demandado	defendant	noun	B2.1	
demandante	plaintiff	noun	B2.1	
desconfianza	distrust	noun	B2.1	
descuidada	careless	noun	B2.1	
desempleo	unemployment	noun	B2.1	
desodorante	deodorant	noun	B2.1	
devolución	return	noun	B2.1	
dimisión	resignation	noun	B2.1	
diplomacia	diplomacy	noun	B2.1	
disgusto	disgust	noun	B2.1	
disponer	to provide, to dispose, to prepare	verb	B2.1	
diversidad	diversity	noun	B2.1	
doctrina	doctrine	noun	B2.1	
dominación	domination	noun	B2.1	
ecografía	ultrasound	noun	B2.1	
eficiencia	efficiency	noun	B2.1	
electricista	electrician	noun	B2.1	
emisiones	emissions	noun	B2.1	
emisora	station	noun	B2.1	
empleador	employer	noun	B2.1	
entidad	entity	noun	B2.1	
épica	epic	noun	B2.1	
espectador	viewer	noun	B2.1	
especulación	speculation	noun	B2.1	
estantería	bookshelf	noun	B2.1	
estética	aesthetics	noun	B2.1	
eudemonismo	eudaemonism	noun	B2.1	
exorcismo	exorcism	noun	B2.1	
falsabilidad	falsifiability	adj	B2.1	
fascismo	fascism	noun	B2.1	
fideicomiso	trust	noun	B2.1	
financiación	financing	noun	B2.1	
formato	format	noun	B2.1	
foro	forum	noun	B2.1	
fortalecer	to strengthen	verb	B2.1	
ginecólogo	gynecologist	noun	B2.1	
gramo	gram	noun	B2.1	
guion	script	noun	B2.1	
guionista	screenwriter	noun	B2.1	
hábitat	habitat	noun	B2.1	
heteronomía	heteronomy	noun	B2.1	
higiene	hygiene	noun	B2.1	
idealista	idealistic	adj	B2.1	
ideología	ideology	noun	B2.1	
ilimitado	unlimited	adj	B2.1	
impaciencia	impatience	noun	B2.1	
improvisación	improvisation	noun	B2.1	
incapacidad	disability	noun	B2.1	
incentivo	incentive	adj	B2.1	
incrementar	to increase	verb	B2.1	
indemnización	compensation	noun	B2.1	
indicar	to indicate	verb	B2.1	
indulto	pardon	noun	B2.1	
inflación	inflation	noun	B2.1	
inmaduro	immature	adj	B2.1	
insegura	insecure	adj	B2.1	
insomnio	insomnia	noun	B2.1	
interacción	interaction	noun	B2.1	
intersubjetividad	intersubjectivity	noun	B2.1	
jerarquía	hierarchy	noun	B2.1	
jerga	jargon	noun	B2.1	
lector	reader	noun	B2.1	
loción	lotion	noun	B2.1	
medieval	medieval	adj	B2.1	
mezquita	mosque	noun	B2.1	
minoría	minority	noun	B2.1	
monopolio	monopoly	noun	B2.1	
motivado	motivated	adj	B2.1	
mutación	mutation	noun	B2.1	
nacionalidad	nationality	noun	B2.1	
nativo	native	adj	B2.1	
nominalismo	nominalism	noun	B2.1	
notario	notary	noun	B2.1	
notificación	notification	noun	B2.1	
obsesivo	obsessive	adj	B2.1	
olímpico	Olympic	adj	B2.1	
ordenanza	ordinance	noun	B2.1	
orgánico	organic	adj	B2.1	
partícula	particle	noun	B2.1	
patinaje	skating	noun	B2.1	
patología	pathology	noun	B2.1	
peaje	toll	noun	B2.1	
pediatra	pediatrician	noun	B2.1	
peine	comb	noun	B2.1	
perspectivismo	perspectivism	noun	B2.1	
pesimista	pessimistic	adj	B2.1	
plomero	plumber	noun	B2.1	
posponer	to postpone	verb	B2.1	
postestructuralismo	post-structuralism	adj	B2.1	
posthumanismo	posthumanism	noun	B2.1	
prescripción	prescription, statute of limitations	noun	B2.1	
presentador	presenter, host	adj	B2.1	
procesado	prosecuted	adj	B2.1	
procesamiento	processing	noun	B2.1	
procesión	procession	noun	B2.1	
procurador	solicitor	adj	B2.1	
prohibir	to prohibit	verb	B2.1	
proporcionar	to provide, supply	verb	B2.1	
proteína	protein	noun	B2.1	
providencia	court providence	noun	B2.1	
psicóloga	psychologist	noun	B2.1	
radiografía	X-ray	noun	B2.1	
rector	rector, chancellor	noun	B2.1	
referente	referent	adj	B2.1	
refugiado	refugee	noun	B2.1	
relajar	to relax (someone)	verb	B2.1	
rema	rheme	noun	B2.1	
renovar	to renew	verb	B2.1	
residuo	waste, residue	noun	B2.1	
rígido	rigid	adj	B2.1	
rito	rite	noun	B2.1	
Rodríguez	Rodriguez	noun	B2.1	
rural	rural	adj	B2.1	
saga	saga	noun	B2.1	
sanitario	sanitary	adj	B2.1	
seguidor	follower	noun	B2.1	
sequía	drought	noun	B2.1	
silva	silva	noun	B2.1	
sociable	sociable	adj	B2.1	
socialismo	socialism	noun	B2.1	
soluto	solute	noun	B2.1	
status	status	noun	B2.1	
sucesión	succession	noun	B2.1	
surfear	to surf	verb	B2.1	
tejer	to knit	verb	B2.1	
tiza	chalk	noun	B2.1	
traductor	translator	noun	B2.1	
transplante	transplant	adj	B2.1	
tsunami	tsunami	noun	B2.1	
ubicado	located	adj	B2.1	
urna	ballot box	noun	B2.1	
vanguardia	avant-garde	noun	B2.1	
Venezuela	Venezuela	noun	B2.1	
vertedero	landfill	noun	B2.1	
videojuego	video game	noun	B2.1	
vitamina	vitamin	noun	B2.1	
vivirán	they will live	verb	B2.1	
vocal	vowel	noun	B2.1	
ablativo	ablative	noun	B2.2	
ablución	ablution	noun	B2.2	
accesión	accession	noun	B2.2	
accionista	shareholder	noun	B2.2	
acondicionador	conditioner	noun	B2.2	
aconsejar	to advise	verb	B2.2	
acrecimiento	accretion	noun	B2.2	
acronía	achrony	noun	B2.2	
acróstico	acrostic	adj	B2.2	
aculturación	acculturation	noun	B2.2	
acupuntura	acupuncture	noun	B2.2	
acusativo	accusative	noun	B2.2	
adaptable	adaptable	adj	B2.2	
adjetivo	adjective	adj	B2.2	
adverbio	adverb	noun	B2.2	
afeitadora	razor	noun	B2.2	
afijo	affix	noun	B2.2	
agilidad	agility	noun	B2.2	
agnosticismo	agnosticism	noun	B2.2	
agravante	aggravating circumstance	noun	B2.2	
albacea	executor	noun	B2.2	
alegación	allegation	noun	B2.2	
alegato	argument, plea	noun	B2.2	
alegoría	allegory	noun	B2.2	
alejandrino	alexandrine	adj	B2.2	
aliteración	alliteration	noun	B2.2	
alófono	allophone	adj	B2.2	
alomorfo	allomorph	noun	B2.2	
alteridad	alterity	adj	B2.2	
altruista	altruistic	adj	B2.2	
ambientación	setting	noun	B2.2	
ambigüedad	ambiguity	noun	B2.2	
ambivalencia	ambivalence	noun	B2.2	
amortización	amortization	noun	B2.2	
anacronismo	anachronism	noun	B2.2	
anadiplosis	anadiplosis	noun	B2.2	
anáfora	anaphora	noun	B2.2	
analepsis	flashback	noun	B2.2	
anarquismo	anarchism	noun	B2.2	
anatema	anathema	noun	B2.2	
anchura	width	noun	B2.2	
anfibología	amphibology	noun	B2.2	
anomia	anomie	noun	B2.2	
antagonista	antagonist	adj	B2.2	
antibiótico	antibiotic	noun	B2.2	
anticlímax	anticlimax	noun	B2.2	
antihéroe	antihero	noun	B2.2	
antijuridicidad	unlawfulness	adj	B2.2	
antioxidante	antioxidant	noun	B2.2	
antipático	unfriendly	adj	B2.2	
antonimia	antonymy	adj	B2.2	
antonomasia	antonomasia	noun	B2.2	
anulabilidad	voidability	noun	B2.2	
apoderado	proxy, attorney	noun	B2.2	
apostasía	apostasy	noun	B2.2	
aptitudes	aptitudes	noun	B2.2	
aranceles	tariffs	noun	B2.2	
arcaísmo	archaism	noun	B2.2	
architextualidad	architextuality	adj	B2.2	
argot	slang	noun	B2.2	
armisticio	armistice	noun	B2.2	
ARN	RNA	abbrev	B2.2	
arquetipo	archetype	noun	B2.2	
arquitecta	architect	noun	B2.2	
artesanía	crafts	noun	B2.2	
ascetismo	asceticism	noun	B2.2	
asertivo	assertive	adj	B2.2	
asignar	to assign	verb	B2.2	
asimilación	assimilation	noun	B2.2	
asíndeton	asyndeton	noun	B2.2	
ateísmo	atheism	noun	B2.2	
atenuante	mitigating circumstance	noun	B2.2	
atributo	attribute	noun	B2.2	
atrición	attrition	noun	B2.2	
auditoría	audit	noun	B2.2	
auge	boom	noun	B2.2	
autocracia	autocracy	noun	B2.2	
autodeterminación	self-determination	noun	B2.2	
autonomía	autonomy	noun	B2.2	
autoría	authorship	noun	B2.2	
autoritarismo	authoritarianism	noun	B2.2	
aval	guarantee	noun	B2.2	
axioma	axiom	noun	B2.2	
ayuno	fasting	noun	B2.2	
backup	backup	noun	B2.2	
bibliografía	bibliography	noun	B2.2	
biocombustible	biofuel	noun	B2.2	
biodegradable	biodegradable	adj	B2.2	
biodiversidad	biodiversity	noun	B2.2	
bipartidismo	bipartisanship	noun	B2.2	
bisílabo	disyllable	adj	B2.2	
cacofonía	cacophony	noun	B2.2	
caducar	to expire	verb	B2.2	
caducidad	expiration	noun	B2.2	
cajera	cashier	noun	B2.2	
calambur	pun	noun	B2.2	
caligrama	calligram	noun	B2.2	
cancelación	cancellation	noun	B2.2	
canon	canon	noun	B2.2	
capitalización	capitalization	adj	B2.2	
carbohidrato	carbohydrate	noun	B2.2	
cardiólogo	cardiologist	noun	B2.2	
carnicera	butcher	noun	B2.2	
carpintera	carpenter	noun	B2.2	
catacresis	catachresis	noun	B2.2	
catáfora	cataphora	noun	B2.2	
catalizador	catalyst	noun	B2.2	
catedrático	professor	noun	B2.2	
causante	decedent	adj	B2.2	
celibato	celibacy	noun	B2.2	
censo	land tax, ground rent	noun	B2.2	
centrismo	centrism	noun	B2.2	
centrista	centrist	noun	B2.2	
cesura	caesura	noun	B2.2	
cinemática	kinematics	noun	B2.2	
circunfijo	circumfix	noun	B2.2	
cisma	schism	noun	B2.2	
clero	clergy	noun	B2.2	
clímax	climax	noun	B2.2	
clonación	cloning	noun	B2.2	
coadyuvante	intervener	noun	B2.2	
cohesión	cohesion	noun	B2.2	
colación	collation	noun	B2.2	
coleccionar	to collect	verb	B2.2	
colonialismo	colonialism	noun	B2.2	
comentarista	commentator	noun	B2.2	
comparatismo	comparatism	noun	B2.2	
comparecencia	appearance	noun	B2.2	
competencias	competencies	noun	B2.2	
competitividad	competitiveness	adj	B2.2	
complemento	complement	noun	B2.2	
compulsivo	compulsive	adj	B2.2	
comunicativo	communicative	adj	B2.2	
concatenación	concatenation	noun	B2.2	
concordancia	agreement	noun	B2.2	
conector	connector	noun	B2.2	
confesionario	confessional	noun	B2.2	
conjugación	conjugation	noun	B2.2	
conjunción	conjunction	noun	B2.2	
connotación	connotation	noun	B2.2	
consagración	consecration	noun	B2.2	
consecuencialismo	consequentialism	adj	B2.2	
consenso	consensus	noun	B2.2	
conservación	conservation	noun	B2.2	
conservadurismo	conservatism	noun	B2.2	
consonante	consonant	adj	B2.2	
consumación	consummation	noun	B2.2	
contador-partidor	accountant-divider	adj	B2.2	
contagio	contagion	noun	B2.2	
contaminante	pollutant	adj	B2.2	
contaminar	to pollute	verb	B2.2	
contemplación	contemplation	noun	B2.2	
contestación	answer	noun	B2.2	
continuidad	continuity	noun	B2.2	
contrainsurgencia	counterinsurgency	noun	B2.2	
contraterrorismo	counterterrorism	noun	B2.2	
convalecencia	convalescence	noun	B2.2	
convenio	agreement	noun	B2.2	
convivencia	coexistence	noun	B2.2	
copla	couplet	noun	B2.2	
correferencia	coreference	noun	B2.2	
corresponder	to correspond to	verb	B2.2	
correspondiente	corresponding	adj	B2.2	
cortocircuito	short circuit	noun	B2.2	
cortometraje	short film	noun	B2.2	
cosmética	cosmetics	noun	B2.2	
cosmovisión	worldview	noun	B2.2	
cotización	quote, price	noun	B2.2	
cromosoma	chromosome	noun	B2.2	
cronolecto	chronolect	noun	B2.2	
cronotopo	chronotope	noun	B2.2	
cualificación	qualification	noun	B2.2	
cultismo	cultism	noun	B2.2	
curatela	curatorship	noun	B2.2	
dativo	dative	noun	B2.2	
débito	debit	noun	B2.2	
declinación	declension	noun	B2.2	
deconstrucción	deconstruction	noun	B2.2	
defectuosa	defective	adj	B2.2	
deflación	deflation	noun	B2.2	
deforestación	deforestation	noun	B2.2	
deísmo	deism	noun	B2.2	
deixis	deixis	noun	B2.2	
demagogia	demagoguery	noun	B2.2	
demografía	demography	noun	B2.2	
denominación	denomination	noun	B2.2	
denotación	denotation	noun	B2.2	
deontología	deontology	noun	B2.2	
dependencia	dependence	noun	B2.2	
derivación	referral	noun	B2.2	
derivados	derivatives	adj	B2.2	
dermatólogo	dermatologist	noun	B2.2	
desanimado	discouraged	adj	B2.2	
desarme	disarmament	noun	B2.2	
descifrado	decryption	noun	B2.2	
descolgar	to pick up	verb	B2.2	
descolonización	decolonization	noun	B2.2	
desecho	waste	noun	B2.2	
desempleada	unemployed	adj	B2.2	
desenlace	denouement	noun	B2.2	
desertificación	desertification	noun	B2.2	
desesperanzado	hopeless	adj	B2.2	
deshidratación	dehydration	noun	B2.2	
deshonesta	dishonest	adj	B2.2	
deshonestidad	dishonesty	noun	B2.2	
desinformación	misinformation	noun	B2.2	
desmilitarización	demilitarization	noun	B2.2	
destacar	to stand out, to highlight, to emphasize	verb	B2.2	
destinatario	recipient	noun	B2.2	
desviación	deviance	noun	B2.2	
detallar	to detail	verb	B2.2	
dialecto	dialect	noun	B2.2	
dialectología	dialectology	noun	B2.2	
dialogismo	dialogism	noun	B2.2	
dictamen	expert opinion	noun	B2.2	
diéresis	diaeresis	noun	B2.2	
digestión	digestion	noun	B2.2	
digresión	digression	noun	B2.2	
dilogía	dilogy	noun	B2.2	
dilución	dilution	noun	B2.2	
diptongo	diphthong	noun	B2.2	
diseñadora	designer	noun	B2.2	
disenso	dissent	noun	B2.2	
disfemismo	dysphemism	noun	B2.2	
disolvente	solvent	adj	B2.2	
disuasión	deterrence	noun	B2.2	
diverso	miscellaneous	adj	B2.2	
dividendo	dividend	noun	B2.2	
divisa	currency	noun	B2.2	
docente	teacher, lecturer	noun	B2.2	
dolo	malice, fraud	noun	B2.2	
dopaje	doping	noun	B2.2	
dual	dual	adj	B2.2	
ecosistema	ecosystem	noun	B2.2	
edicto	edict	noun	B2.2	
égloga	eclogue	noun	B2.2	
electromagnetismo	electromagnetism	noun	B2.2	
elegía	elegy	noun	B2.2	
elipsis	ellipsis	noun	B2.2	
elogiar	to praise	verb	B2.2	
embotellamiento	traffic jam	noun	B2.2	
emigración	emigration	noun	B2.2	
emigrar	to emigrate	verb	B2.2	
emisor	sender	noun	B2.2	
emocionar	to excite	verb	B2.2	
empático	empathetic	adj	B2.2	
empirismo	empiricism	noun	B2.2	
emplazamiento	summons	noun	B2.2	
encabalgamiento	enjambment	noun	B2.2	
encriptación	encryption	noun	B2.2	
enculturación	enculturation	noun	B2.2	
endecasílabo	hendecasyllable	adj	B2.2	
eneasílabo	enneasyllable	adj	B2.2	
enfiteusis	emphyteusis	noun	B2.2	
entonación	intonation	noun	B2.2	
entrevistado	interviewee	noun	B2.2	
entrevistador	interviewer	noun	B2.2	
envidioso	envious	adj	B2.2	
epanadiplosis	epanalepsis	adj	B2.2	
epidemiología	epidemiology	noun	B2.2	
equidad	equity	noun	B2.2	
equívoco	equivocation	noun	B2.2	
esperanzado	hopeful	adj	B2.2	
espiritualidad	spirituality	adj	B2.2	
estancamiento	stagnation	noun	B2.2	
estanflación	stagflation	noun	B2.2	
estatuto	statute	noun	B2.2	
estereotipo	stereotype	noun	B2.2	
estigma	stigma	noun	B2.2	
estresar	to stress (someone)	verb	B2.2	
estrofa	stanza	noun	B2.2	
estructurador	structurer	noun	B2.2	
estructuralismo	structuralism	noun	B2.2	
etimología	etymology	noun	B2.2	
etnocentrismo	ethnocentrism	noun	B2.2	
etnografía	ethnography	noun	B2.2	
etnología	ethnology	noun	B2.2	
eucaristía	eucharist	noun	B2.2	
eufemismo	euphemism	noun	B2.2	
eufonía	euphony	noun	B2.2	
evangelización	evangelization	noun	B2.2	
excomunión	excommunication	noun	B2.2	
excursionista	hiker, day-tripper	noun	B2.2	
exégesis	exegesis	noun	B2.2	
exención	exemption	noun	B2.2	
exhorto	letter rogatory	noun	B2.2	
eximente	exempting circumstance	adv	B2.2	
existencialismo	existentialism	noun	B2.2	
expatriado	expatriate	noun	B2.2	
experimentación	experimentation	adj	B2.2	
exportación	export	noun	B2.2	
expropiación	expropriation	noun	B2.2	
extranjería	immigration office, status	adj	B2.2	
extraviado	lost	adj	B2.2	
extremismo	extremism	noun	B2.2	
extremista	extremist	noun	B2.2	
extrovertida	extroverted	adj	B2.2	
extrovertido	extroverted; outgoing	adj	B2.2	
fábula	fable	noun	B2.2	
facturación	check-in	noun	B2.2	
falsedad	falsehood	noun	B2.2	
fanatismo	fanaticism	noun	B2.2	
fármaco	drug, pharmaceutical	noun	B2.2	
fedatario	public attestor	adj	B2.2	
felicitación	congratulation	noun	B2.2	
fenomenología	phenomenology	noun	B2.2	
filiación	filiation	noun	B2.2	
finito	finite	adj	B2.2	
firewall	firewall	adj	B2.2	
fisiología	physiology	noun	B2.2	
fisioterapeuta	physiotherapist	noun	B2.2	
flexión	inflection	noun	B2.2	
fobia	phobia	noun	B2.2	
focalización	focalization	adj	B2.2	
folclore	folklore	noun	B2.2	
fonema	phoneme	noun	B2.2	
fonética	phonetics	noun	B2.2	
fonología	phonology	noun	B2.2	
frustrar	to frustrate	verb	B2.2	
fundamentalismo	fundamentalism	noun	B2.2	
generalidad	generality	noun	B2.2	
genitivo	genitive	noun	B2.2	
geopolítica	geopolitics	adj	B2.2	
gerundio	gerund	noun	B2.2	
globalización	globalization	noun	B2.2	
glóbulo	blood cell	noun	B2.2	
glosario	glossary	noun	B2.2	
González	Gonzalez	noun	B2.2	
goteo	leak, drip	noun	B2.2	
gradación	gradation	noun	B2.2	
gramática	grammar	noun	B2.2	
gravitación	gravitation	noun	B2.2	
Guadalajara	Guadalajara	noun	B2.2	
guerrilla	guerrilla	noun	B2.2	
habilitación	qualification, authorization	noun	B2.2	
habitante	inhabitant	noun	B2.2	
hackeo	hacking	verb	B2.2	
haiku	haiku	noun	B2.2	
hedonismo	hedonism	noun	B2.2	
hegemonía	hegemony	noun	B2.2	
hemistiquio	hemistich	adj	B2.2	
heptasílabo	heptasyllable	adj	B2.2	
herejía	heresy	noun	B2.2	
hermenéutica	hermeneutics	noun	B2.2	
heterodoxia	heterodoxy	noun	B2.2	
heterogeneidad	heterogeneity	noun	B2.2	
heteroglosia	heteroglossia	noun	B2.2	
hexasílabo	hexasyllable	adj	B2.2	
hiato	hiatus	noun	B2.2	
hidratación	hydration	noun	B2.2	
hipérbaton	hyperbaton	noun	B2.2	
hipérbole	hyperbole	noun	B2.2	
hiperonimia	hypernymy	noun	B2.2	
hipertexto	hypertext	noun	B2.2	
hipertextualidad	hypertextuality	adj	B2.2	
hiponimia	hyponymy	noun	B2.2	
historicismo	historicism	noun	B2.2	
holonimia	holonymy	noun	B2.2	
homeopatía	homeopathy	noun	B2.2	
homilía	homily	noun	B2.2	
homofobia	homophobia	noun	B2.2	
homofonía	homophony	noun	B2.2	
homogeneidad	homogeneity	noun	B2.2	
homografía	homography	noun	B2.2	
homonimia	homonymy	noun	B2.2	
humanismo	humanism	noun	B2.2	
idealismo	idealism	noun	B2.2	
idiolecto	idiolect	noun	B2.2	
idolatría	idolatry	noun	B2.2	
imperativo	imperative	adj	B2.2	
imperfecto	imperfect	adj	B2.2	
imperialismo	imperialism	noun	B2.2	
implicar	to imply	verb	B2.2	
implicatura	implicature	adj	B2.2	
importación	import	noun	B2.2	
imposibilidad	impossibility	noun	B2.2	
impugnación	challenge	noun	B2.2	
impunidad	impunity	noun	B2.2	
imputabilidad	imputability	noun	B2.2	
imputado	charged, indicted	adj	B2.2	
incapacitación	incapacitation	noun	B2.2	
incompleto	incomplete	adj	B2.2	
incumplimiento	non-compliance	noun	B2.2	
infijo	infix	noun	B2.2	
infinitivo	infinitive	noun	B2.2	
ingeniera	engineer	noun	B2.2	
inmadura	immature	noun	B2.2	
inmanencia	immanence	noun	B2.2	
inmanente	immanent	adj	B2.2	
inmigrar	to immigrate	verb	B2.2	
inorgánico	inorganic	adj	B2.2	
inquilina	tenant	noun	B2.2	
insatisfecho	unsatisfied	adj	B2.2	
insuficiente	insufficient	adj	B2.2	
insurgencia	insurgency	noun	B2.2	
integrante	member	noun	B2.2	
intencionalidad	intentionality	noun	B2.2	
